minute,arrivals,service_ms,region
0,42,71,eu-demo
1,45,73,eu-demo
2,48,74,eu-demo
3,50,76,eu-demo
4,54,77,eu-demo
5,58,79,eu-demo
6,64,82,eu-demo
7,72,84,eu-demo
8,85,87,eu-demo
9,96,90,eu-demo
10,108,92,eu-demo
11,115,94,eu-demo
12,120,96,eu-demo
13,118,95,eu-demo
14,111,93,eu-demo
15,104,91,eu-demo
16,99,89,eu-demo
17,107,91,eu-demo
18,122,95,eu-demo
19,136,98,eu-demo
20,148,101,eu-demo
21,153,103,eu-demo
22,147,100,eu-demo
23,134,97,eu-demo
24,121,94,eu-demo
25,112,92,eu-demo
26,103,89,eu-demo
27,95,86,eu-demo
28,87,84,eu-demo
29,79,82,eu-demo
30,74,80,eu-demo
31,71,79,eu-demo
32,69,78,eu-demo
33,73,80,eu-demo
34,81,83,eu-demo
35,93,87,eu-demo
36,109,92,eu-demo
37,126,96,eu-demo
38,141,100,eu-demo
39,156,104,eu-demo
40,163,106,eu-demo
41,159,105,eu-demo
42,151,102,eu-demo
43,137,98,eu-demo
44,124,94,eu-demo
45,113,91,eu-demo
46,101,88,eu-demo
47,89,85,eu-demo
48,78,82,eu-demo
49,68,79,eu-demo
50,61,77,eu-demo
51,57,76,eu-demo
52,55,75,eu-demo
53,59,76,eu-demo
54,66,78,eu-demo
55,75,81,eu-demo
56,88,85,eu-demo
57,102,89,eu-demo
58,116,93,eu-demo
59,130,97,eu-demo
